date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob
2021-07-23,474444,355629,118815,7312,6555,757,994,4,,654,340,4,0,199,123,76
2021-07-22,473503,355012,118491,7308,6551,757,933,2,,587,346,2,0,220,131,89
2021-07-21,472605,354443,118162,7306,6549,757,963,2,,583,380,1,1,181,105,76
2021-07-20,471669,353875,117794,7304,6548,756,1054,3,,613,441,3,0,217,109,108
2021-07-19,470680,353300,117380,7301,6545,756,240,4,,160,80,4,0,56,38,18
2021-07-18,470440,353140,117300,7297,6541,756,250,5,,196,54,5,0,58,43,15
2021-07-17,470220,352964,117256,7292,6536,756,559,8,,339,220,8,0,105,64,41
2021-07-16,469710,352656,117054,7284,6528,756,541,3,,348,193,3,0,133,84,49
2021-07-15,469214,352335,116879,7281,6525,756,564,5,,348,216,4,1,117,68,49
2021-07-14,468680,352000,116680,7276,6521,755,669,5,,375,294,5,0,129,62,67
2021-07-13,468044,351639,116405,7271,6516,755,470,6,,251,219,6,0,102,54,48
2021-07-12,467612,351391,116221,7265,6510,755,164,2,,93,71,2,0,33,19,14
2021-07-11,467448,351298,116150,7263,6508,755,202,5,,160,42,5,0,43,32,11
2021-07-10,467246,351138,116108,7258,6503,755,368,3,,207,161,2,1,81,50,31
2021-07-09,466884,350926,115958,7255,6501,754,379,2,,255,124,2,0,89,53,36
2021-07-08,466545,350693,115852,7253,6499,754,337,3,,196,141,3,0,67,30,37
2021-07-07,466244,350506,115738,7250,6496,754,397,5,,225,172,5,0,76,36,40
2021-07-06,465913,350334,115579,7245,6491,754,87,3,,52,35,3,0,13,7,6
2021-07-05,465826,350282,115544,7242,6488,754,74,2,,60,14,2,0,11,8,3
2021-07-04,465752,350222,115530,7240,6486,754,108,3,,85,23,3,0,24,19,5
2021-07-03,465676,350165,115511,7237,6483,754,200,8,,129,71,7,1,40,25,15
2021-07-02,465490,349978,115512,7229,6476,753,172,6,,102,70,4,2,41,18,23
2021-07-01,465330,349805,115525,7223,6472,751,215,3,,153,62,3,0,47,30,17
2021-06-30,465167,349666,115501,7220,6469,751,351,3,,224,127,3,0,65,46,19
2021-06-29,464893,349491,115402,7217,6466,751,244,5,,156,88,4,1,47,27,20
2021-06-28,464686,349326,115360,7212,6462,750,69,2,,48,21,2,0,11,9,2
2021-06-27,464617,349278,115339,7210,6460,750,70,3,,62,8,3,0,16,12,4
