date,new_cases,new_deaths,actual_deaths,avg_cases,avg_deaths,avg_actual_deaths,cases_per_100k,avg_cases_per_100k,pct_chng_cases_weekly,pct_chng_deaths_weekly,pct_chng_adeaths_weekly,pct_chng_cases_biweekly,pct_chng_deaths_biweekly,pct_chng_adeaths_biweekly
2021-09-26,1563.0,31.0,31.0,3237.0,34.0,34.0,35.0,72.0,-15.0,0.0,0.0,-18.0,62.0,62.0
2021-09-25,3171.0,37.0,37.0,3397.0,33.0,33.0,71.0,76.0,-16.0,0.0,0.0,-15.0,43.0,43.0
2021-09-24,3941.0,26.0,26.0,3489.0,34.0,34.0,88.0,78.0,-18.0,10.0,10.0,-12.0,62.0,62.0
2021-09-23,4099.0,44.0,44.0,3659.0,37.0,37.0,92.0,82.0,-14.0,23.0,23.0,-9.0,61.0,61.0
2021-09-22,4418.0,52.0,52.0,3844.0,38.0,38.0,99.0,86.0,-7.0,41.0,41.0,-6.0,90.0,90.0
2021-09-21,3391.0,31.0,31.0,3789.0,34.0,34.0,76.0,85.0,-3.0,42.0,42.0,-14.0,48.0,48.0
2021-09-20,2075.0,17.0,17.0,3651.0,34.0,34.0,46.0,82.0,-7.0,55.0,55.0,-17.0,36.0,36.0
2021-09-19,2685.0,23.0,23.0,3799.0,34.0,34.0,60.0,85.0,-4.0,62.0,62.0,-13.0,36.0,36.0
2021-09-18,3811.0,48.0,48.0,4054.0,33.0,33.0,85.0,91.0,2.0,43.0,43.0,-5.0,43.0,43.0
2021-09-17,5133.0,45.0,45.0,4252.0,31.0,31.0,115.0,95.0,7.0,48.0,48.0,0.0,41.0,41.0
2021-09-15,5398.0,49.0,49.0,4269.0,30.0,30.0,121.0,96.0,7.0,30.0,30.0,1.0,58.0,58.0
2021-09-14,4030.0,24.0,24.0,4136.0,27.0,27.0,90.0,93.0,2.0,35.0,35.0,-2.0,0.0,0.0
2021-09-13,2426.0,29.0,29.0,3897.0,24.0,24.0,54.0,87.0,-11.0,4.0,4.0,-8.0,-8.0,-8.0
2021-09-12,3111.0,21.0,21.0,3914.0,22.0,22.0,70.0,88.0,-11.0,-12.0,-12.0,-7.0,-12.0,-12.0
2021-09-11,4470.0,18.0,18.0,3951.0,21.0,21.0,100.0,88.0,-10.0,-16.0,-16.0,-5.0,-12.0,-12.0
2021-09-10,5197.0,32.0,32.0,3989.0,23.0,23.0,116.0,89.0,-7.0,0.0,0.0,-1.0,-4.0,-4.0
2021-09-09,5252.0,36.0,36.0,3977.0,21.0,21.0,118.0,89.0,-6.0,-5.0,-5.0,2.0,-5.0,-5.0
2021-09-08,4468.0,30.0,30.0,4006.0,23.0,23.0,100.0,90.0,-5.0,21.0,21.0,5.0,15.0,15.0
2021-09-07,2356.0,5.0,5.0,4073.0,20.0,20.0,53.0,91.0,-3.0,-26.0,-26.0,12.0,67.0,67.0
2021-09-06,2541.0,9.0,9.0,4387.0,23.0,23.0,57.0,98.0,4.0,-12.0,-12.0,27.0,130.0,130.0
2021-09-05,3376.0,17.0,17.0,4398.0,25.0,25.0,76.0,98.0,4.0,0.0,0.0,30.0,178.0,178.0
2021-09-04,4732.0,29.0,29.0,4380.0,25.0,25.0,106.0,98.0,6.0,4.0,4.0,31.0,178.0,178.0
2021-09-03,5111.0,24.0,24.0,4282.0,23.0,23.0,114.0,96.0,6.0,-4.0,-4.0,34.0,188.0,188.0
2021-09-02,5457.0,45.0,45.0,4240.0,22.0,22.0,122.0,95.0,8.0,0.0,0.0,32.0,144.0,144.0
2021-09-01,4941.0,12.0,12.0,4232.0,19.0,19.0,111.0,95.0,11.0,-5.0,-5.0,46.0,111.0,111.0
