date,hospitalized,in_icu,on_vent
2021-08-27,2129,592,349.0
2021-08-26,2115,590,345.0
2021-08-25,2074,549,338.0
2021-08-24,2014,589,338.0
2021-08-23,1893,529,301.0
2021-08-22,1845,506,286.0
2021-08-21,1841,511,274.0
2021-08-20,1780,487,255.0
2021-08-19,1708,481,242.0
2021-08-18,1658,466,229.0
2021-08-17,1603,441,238.0
2021-08-16,1528,429,224.0
2021-08-15,1477,410,211.0
2021-08-14,1444,394,197.0
2021-08-13,1424,391,185.0
2021-08-12,1371,357,169.0
2021-08-11,1327,363,169.0
2021-08-10,1251,339,168.0
2021-08-09,1139,331,158.0
2021-08-08,1083,321,138.0
2021-08-07,1054,311,130.0
2021-08-06,976,286,121.0
2021-08-05,939,282,108.0
2021-08-04,889,275,100.0
2021-08-03,824,263,96.0
2021-08-02,796,250,98.0
2021-08-01,736,220,97.0
2021-07-31,671,199,91.0
2021-07-30,625,195,85.0
2021-07-29,608,189,82.0
2021-07-28,571,185,83.0
2021-07-27,520,175,83.0
2021-07-26,486,159,71.0
2021-07-25,468,152,70.0
2021-07-24,461,145,66.0
2021-07-23,444,132,58.0
2021-07-22,423,124,50.0
2021-07-21,380,115,59.0
2021-07-20,347,112,44.0
2021-07-19,337,104,38.0
2021-07-18,317,99,35.0
2021-07-17,300,88,25.0
2021-07-16,294,64,22.0
2021-07-15,264,65,33.0
2021-07-14,239,60,25.0
2021-07-13,244,63,26.0
2021-07-12,233,70,30.0
2021-07-11,234,77,32.0
2021-07-10,226,72,38.0
2021-07-09,228,68,36.0
2021-07-08,241,64,32.0
2021-07-07,214,66,33.0
2021-07-06,198,69,34.0
2021-07-05,183,62,25.0
2021-07-04,200,67,31.0
2021-07-03,181,64,28.0
2021-07-02,211,56,26.0
2021-07-01,201,55,25.0
2021-06-30,180,51,21.0
2021-06-29,176,52,24.0
2021-06-28,169,53,25.0
2021-06-27,179,51,25.0
2021-06-26,188,55,30.0
2021-06-25,196,54,29.0
2021-06-24,196,55,32.0
2021-06-23,196,55,32.0
2021-06-22,194,55,29.0
2021-06-21,202,48,28.0
2021-06-20,202,61,34.0
2021-06-19,206,61,31.0
2021-06-18,209,56,28.0
2021-06-17,229,66,36.0
2021-06-16,238,65,35.0
2021-06-15,232,70,35.0
2021-06-14,223,65,35.0
2021-06-13,221,64,34.0
2021-06-12,263,65,43.0
2021-06-11,270,72,35.0
2021-06-10,275,78,39.0
2021-06-09,279,88,48.0
2021-06-08,273,80,40.0
2021-06-07,283,92,57.0
2021-06-06,281,84,42.0
2021-06-05,296,83,44.0
2021-06-04,294,87,45.0
2021-06-03,307,91,46.0
2021-06-02,307,106,68.0
2021-06-01,324,111,56.0
2021-05-31,314,93,48.0
2021-05-30,325,100,49.0
2021-05-29,326,93,46.0
2021-05-28,338,103,64.0
2021-05-27,328,96,50.0
2021-05-26,349,109,50.0
2021-05-25,353,108,49.0
2021-05-24,343,101,71.0
2021-05-23,338,107,52.0
2021-05-22,357,102,50.0
