date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-09-12,627884,461157.0,166727.0,8042.0,7190.0,852.0,3111.0,21.0,,2458.0,653.0,15.0,6.0,824.0,640.0,184.0,21.0
2021-09-11,624777,458699.0,166078.0,8021.0,7175.0,846.0,4470.0,18.0,,3065.0,1405.0,16.0,2.0,1274.0,842.0,432.0,18.0
2021-09-10,620356,455613.0,164743.0,8003.0,7159.0,844.0,5197.0,32.0,,3497.0,1700.0,27.0,5.0,1443.0,938.0,505.0,32.0
2021-09-09,615168,452113.0,163055.0,7971.0,7132.0,839.0,5252.0,36.0,,3339.0,1913.0,31.0,5.0,1602.0,951.0,651.0,36.0
2021-09-08,609924,448783.0,161141.0,7935.0,7101.0,834.0,4468.0,30.0,,2775.0,1693.0,27.0,3.0,1220.0,691.0,529.0,30.0
2021-09-07,605468,446015.0,159453.0,7905.0,7074.0,831.0,2356.0,5.0,,1661.0,695.0,4.0,1.0,582.0,387.0,195.0,5.0
2021-09-06,603121,444367.0,158754.0,7900.0,7070.0,830.0,2541.0,9.0,,1920.0,621.0,8.0,1.0,722.0,531.0,191.0,9.0
2021-09-05,600583,442440.0,158143.0,7891.0,7062.0,829.0,3376.0,17.0,,2693.0,683.0,16.0,1.0,943.0,730.0,213.0,17.0
2021-09-04,597211,439739.0,157472.0,7874.0,7046.0,828.0,4732.0,29.0,,3200.0,1532.0,24.0,5.0,1510.0,974.0,536.0,29.0
2021-09-03,592489,436548.0,155941.0,7845.0,7022.0,823.0,5111.0,24.0,,3474.0,1637.0,18.0,6.0,1547.0,992.0,555.0,24.0
2021-09-02,587414,433074.0,154340.0,7821.0,7004.0,817.0,5457.0,45.0,,3832.0,1625.0,42.0,3.0,1774.0,1199.0,575.0,45.0
2021-09-01,581982,429275.0,152707.0,7776.0,6962.0,814.0,4941.0,12.0,,3321.0,1620.0,9.0,3.0,1560.0,991.0,569.0,12.0
2021-08-31,577051,425943.0,151108.0,7764.0,6953.0,811.0,4548.0,23.0,,3020.0,1528.0,20.0,3.0,1407.0,857.0,550.0,23.0
2021-08-30,572517,422922.0,149595.0,7741.0,6933.0,808.0,2619.0,25.0,,2072.0,547.0,21.0,4.0,752.0,577.0,175.0,25.0
2021-08-29,569903,420843.0,149060.0,7716.0,6912.0,804.0,3249.0,18.0,,2573.0,676.0,17.0,1.0,946.0,742.0,204.0,18.0
